emp_id,first_name,last_name,address,postal_code,phone_number,email_address,role,department_id,park_id
10001,Andrew,Stokes,734 Gulf St.,15235,532-658-9127,Andrew.Stokes@fakeEmail.com,Park Ranger,CRPSD,ACAD
10002,Adam,Weber,127 State Drive,96528,623-547-8315,Adam.Weber@fakeEmail.com,Interpreter,APAEU,ARCH
10003,Sydney,Chapman,824 Beaver Ridge Street,48512,865-315-7548,Sydney.Chapman@fakeEmail.com,Educator,NRSSD,BADL
10004,Elliott,Petersen,7742 SE. Warren Ave.,15936,312-642-6596,Elliott.Petersen@fakeEmail.com,Visitor services,PPFLD,BIBE
10005,Sabrina,Ibarra,8975 Armstrong Lane,42561,128-562-4935,Sabrina.Ibarra@fakeEmail.com,Data manager,PACED,BISC
10006,Chloe,Farmer,40 E. Evergreen Lane,49566,628-643-8861,Chloe.Farmer@fakeEmail.com,Maintenance worker,VARPD,BLCA
10007,Terrence,Mcclure,7686 Fairfield Dr.,31524,864-539-6722,Terrence.Mcclure@fakeEmail.com,Resource manager,CRPSD,BRCA
10008,Laurence,Rubio,8603 Cambridge Lane,24625,532-658-9128,Laurence.Rubio@fakeEmail.com,Soundscape specialist,IEAVD,CANY
10009,Jennifer,Fernandez,9 Old San Juan Ave.,54986,623-547-8316,Jennifer.Fernandez@fakeEmail.com,Archaeologist,NRSSD,CARE
10010,Peter,Rosales,593 Parkway Drive,35698,865-315-7549,Peter.Rosales@fakeEmail.com,Physical scientist,PPFLD,CAVE
10011,Kennedy,Potter,64 Columbia St.,24652,312-6428-6597,Kennedy.Potter@fakeEmail.com,Ecologist,PACED,CHIS
10012,Frederic,Peters,9698 Windsor St.,56932,128-562-4936,Frederic.Peters@fakeEmail.com,Geologist,VARPD,CONG
10013,Jean,Curry,3 Addison Rd.,55784,628-643-8862,Jean.Curry@fakeEmail.com,Biologist,CRPSD,CRLA
10014,Kylie,Underwood,890 Kirkland Street,61248,864-539-6723,Kylie.Underwood@fakeEmail.com,Park Ranger,IEAVD,CUVA
10015,Oliver,Garrett,977 Manhattan Lane,63295,532-658-9129,Oliver.Garrett@fakeEmail.com,Interpreter,NRSSD,DENA
10016,Beatrice,Durham,8235 Howard Ave.,21454,623-547-8317,Beatrice.Durham@fakeEmail.com,Educator,PPFLD,DEVA
10017,Walter,McCullough,242 NW. Greystone St.,32568,865-315-7550,Walter.McCullough@fakeEmail.com,Visitor services,PACED,DRTO
10018,Iris,Vargas,4 North Winding Way Street,32659,312-642-6598,Iris.Vargas@fakeEmail.com,Data manager,VARPD,EVER
10019,Rose,Higgins,887 Ridgewood Avenue,31526,128-562-4937,Rose.Higgins@fakeEmail.com,Maintenance worker,CRPSD,GAAR
10020,Daisy,Kramer,9698 SE. Woodside Ave.,31547,628-643-8863,Daisy.Kramer@fakeEmail.com,Resource manager,IEAVD,GLAC
10021,Harry,O'Connell,67 St Louis Lane,62531,864-539-6724,Harry.O'Connell@fakeEmail.com,Soundscape specialist,NRSSD,GLBA
10022,Gordon,Moreno,8549 Pacific Dr.,45885,532-658-9130,Gordon.Moreno@fakeEmail.com,Archaeologist,PPFLD,GRBA
